                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    123,                 1.1327,                0.75509,                 1.0562,                0.74176,                0.70321,                0.70802,                0.43627,                 1.7462,                 1.0308,                 1.3417,             0.00020053,             0.00020053,             0.00020053
                    124,                 1.1356,                 0.7626,                 1.0678,                0.75912,                0.69302,                0.69724,                 0.4287,                  1.742,                 1.0355,                 1.3438,             0.00019805,             0.00019805,             0.00019805
                    125,                 1.1119,                0.76803,                 1.0562,                0.80833,                0.64553,                 0.7014,                0.43595,                 1.7539,                 1.0331,                  1.347,             0.00019557,             0.00019557,             0.00019557
                    126,                  1.135,                0.77734,                 1.0656,                0.72317,                0.68321,                0.70335,                0.43642,                 1.7457,                 1.0198,                 1.3425,              0.0001931,              0.0001931,              0.0001931
                    127,                 1.1267,                0.75409,                 1.0563,                0.75884,                0.68263,                0.71137,                0.43542,                 1.7495,                 1.0322,                 1.3411,             0.00019062,             0.00019062,             0.00019062
                    128,                 1.1447,                0.77451,                 1.0845,                0.73534,                0.67594,                0.70716,                 0.4421,                 1.7397,                 1.0297,                 1.3357,             0.00018815,             0.00018815,             0.00018815
                    129,                 1.1306,                0.75445,                 1.0578,                0.74088,                0.65935,                0.71455,                0.44478,                 1.7393,                 1.0407,                 1.3408,             0.00018568,             0.00018568,             0.00018568
                    130,                 1.1378,                  0.793,                 1.0831,                0.73418,                0.63613,                0.70068,                0.43412,                 1.7251,                 1.0482,                 1.3282,              0.0001832,              0.0001832,              0.0001832
                    131,                 1.1253,                0.76866,                 1.0659,                0.75878,                0.65452,                0.70016,                0.43979,                 1.7344,                 1.0319,                 1.3318,             0.00018072,             0.00018072,             0.00018072
                    132,                 1.1331,                0.75413,                  1.068,                0.76963,                0.65866,                 0.7086,                0.43442,                 1.7268,                 1.0153,                 1.3388,             0.00017825,             0.00017825,             0.00017825
                    133,                 1.1102,                0.75471,                 1.0545,                0.71525,                0.66435,                0.69961,                0.43387,                 1.7381,                 1.0218,                 1.3309,             0.00017578,             0.00017578,             0.00017578
                    134,                 1.1277,                0.76169,                 1.0668,                0.74024,                0.65417,                0.68311,                0.41822,                 1.7305,                 1.0453,                 1.3307,              0.0001733,              0.0001733,              0.0001733
                    135,                  1.108,                0.75446,                 1.0595,                0.76662,                0.65733,                0.69208,                0.41891,                 1.7281,                 1.0388,                 1.3362,             0.00017082,             0.00017082,             0.00017082
                    136,                 1.1318,                0.76958,                 1.0642,                0.77361,                0.63279,                0.69238,                0.42479,                 1.7252,                 1.0425,                 1.3352,             0.00016835,             0.00016835,             0.00016835
                    137,                 1.1052,                0.73823,                 1.0685,                0.69733,                0.67384,                0.69233,                0.43163,                 1.7263,                 1.0322,                 1.3289,             0.00016588,             0.00016588,             0.00016588
                    138,                 1.0963,                0.73921,                  1.057,                0.71927,                0.69155,                0.69195,                0.42888,                 1.7232,                 1.0338,                  1.327,              0.0001634,              0.0001634,              0.0001634
                    139,                 1.1205,                0.77575,                 1.0755,                0.75523,                0.66739,                0.69946,                0.43493,                 1.7381,                 1.0335,                 1.3323,             0.00016092,             0.00016092,             0.00016092
                    140,                 1.1157,                0.75902,                 1.0629,                0.72804,                0.67834,                0.70259,                0.43222,                 1.7261,                 1.0164,                 1.3239,             0.00015845,             0.00015845,             0.00015845
                    141,                 1.0953,                0.74385,                 1.0554,                0.78319,                0.65005,                0.70874,                0.43881,                 1.7317,                 1.0269,                 1.3311,             0.00015598,             0.00015598,             0.00015598
                    142,                 1.0969,                0.73904,                 1.0448,                0.75201,                0.64792,                0.70309,                0.43361,                 1.7296,                  1.033,                 1.3382,              0.0001535,              0.0001535,              0.0001535
                    143,                 1.0943,                0.73688,                 1.0367,                0.70012,                0.67207,                 0.6973,                0.43081,                  1.746,                 1.0429,                 1.3446,             0.00015103,             0.00015103,             0.00015103
